"Area","Surface","EstPop","PopDens"
"Area1",11494.2109928463,81113.3311209637,7.06
"Area2",29382.3962780418,110266.093300751,3.75
"Area3",44569.2859220895,283569.207127121,6.36
"Area4",39063.3984022008,236168.562487511,6.05
"Area5",69028.6678637225,197071.546668636,2.85
"Area6",30327.8424258725,100790.209069176,3.32
"Area7",57883.8104174921,19541.4047100322,0.34
"Area8",9644.62911679733,3323.4360410831,0.34
